,artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
22,Incorporeal Visions Deluxe,Network Entities,Ventilation オフィス,59T2mZuHyy6yvHhTfZUsLk,0.556,0.893,0,-6.642,1,0.0508,0.908,0.0921,0.629,151.986,78947,4
23,AURAGRAPH,Vista,Try Enough,3zF2DgzHsuHCRnQaanjhjq,0.58,0.816,2,-8.618,1,0.0821,0.872,0.116,0.852,191.717,161250,4
24,Vivi Vulture,Treasure,Treasure,2umkNoTYOL5xnHLvLt1WQ4,0.678,0.836,11,-6.577,0,0.0311,0.501,0.0742,0.69,120.002,256000,4
25,DUCAT,Andromeda,Andromeda,5On4syxOQUdVxkH9wQTnuU,0.688,0.342,5,-13.988,0,0.0444,0.26,0.1,0.337,170.029,205434,4
26,Donor Lens,Miracle Lounge มิราเคิล เลานจ์ (Remastered) [Remastered 2022],Mistakes - Remastered 2022,1CStstWwirzOtUxGKjhgKt,0.801,0.619,6,-9.141,1,0.0589,0.58,0.102,0.875,107.129,85500,4
27,Runners Club 95,Apricot Remixes,Apricot - Remix,3ohOgM9Zdz1ynBOosQqtTK,0.83,0.218,11,-13.704,1,0.0445,0.91,0.103,0.888,95.223,204423,4
28,VAAV Social Club,we at pool éõéñéõ,we at pool éõéñéõ,0dBRZqvAWXz9o8qsXdr9iV,0.249,0.468,11,-11.985,0,0.0702,0.357,0.0921,0.0327,177.791,162048,3
29,desert sand feels warm at night,New World Disciples,"Follow Him, For He Is the One",7zwEj3hEiAfRrwjFyIy3jQ,0.413,0.27,5,-18.735,1,0.033,0.748,0.106,0.219,147.942,389189,4
30,ESPRIT 空想,200% Electronica,Warmpop,0Ubp7kMZ6MWZIL8qkloYub,0.423,0.771,1,-8.259,1,0.0665,0.852,0.371,0.194,90.1,172375,4
31,猫 シ Corp.,Hi-Fi,Noodle Shop Cats,0W1FekyLAR8MjSJh7Hgpg9,0.887,0.429,11,-11.133,1,0.112,0.39,0.281,0.877,76.353,59560,4
32,Various Artists,Stratford Ct. | Aestas - Compilation 003,Hurts So Good,0uFtHyLddQamEzIDSNnbUN,0.344,0.893,11,-5.027,1,0.302,0.000888,0.0817,0.61,73.132,233700,3
33,VAAV Social Club,006original,006original,08qs9eJWCCNp1KzQk1iJUD,0.922,0.408,9,-8.935,0,0.184,0.847,0.0634,0.961,139.352,96361,4
34,Maitro,Dragonball Wave,SNAKE WAY,7IZJ2wCNkvhwhsLgrMpuZn,0.598,0.74,2,-11.181,1,0.0433,0.755,0.143,0.48,85.998,187051,4
35,VANITAS命死,SECRET STEREO,SECRET STEREO,2z73LFU7JDpHui9ITygjzq,0.49,0.828,1,-6.841,1,0.0778,0.774,0.181,0.596,169.925,424176,4
36,Dan Mason ダン·メイソン,Miami Virtual,Waiting for You,44K1lRG5aUFLQkIKWYbjzQ,0.666,0.583,6,-10.182,0,0.045,0.852,0.237,0.536,89.051,253728,4
37,enøize,pink worlds,pink worlds,7Ee0Fx1cs3GVaFC07oSe7o,0.615,0.538,7,-13.59,1,0.0687,0.945,0.196,0.546,179.978,263333,4
38,Persona La Ave,Power Walk,Power Walk,6QSwUgY1aBtFD9NA4iN4tD,0.682,0.759,8,-6.053,1,0.0618,0.823,0.144,0.785,164.061,169756,4
39,datfootdive,Mother,stay,0qt56ARoFkrdsc5jPgmpz8,0.665,0.586,6,-9.223,1,0.125,0.218,0.367,0.885,80.038,72000,4
40,FM Skyline,Night Patrol,Night Patrol,1RWdqz1IQM8cBKAtSFaNfj,0.379,0.789,0,-7.051,0,0.0652,0.912,0.163,0.935,155.124,235052,4
41,Device Operator,Midnight Mirage,Sun Stage,1vLqbcAs7WNeEpIR8t6PbU,0.603,0.495,7,-7.302,1,0.051,0.862,0.148,0.282,159.958,166482,4
42,豊平区民Toyohirakumin,Music in the Air,Akaiwa 1985,0djk8EY1IsMeyt8Debt1hw,0.788,0.587,8,-10.028,1,0.0315,0.896,0.0888,0.962,136.064,142806,4
43,Persona La Ave,IV,GottasaythatIneedyou,1qupE9NJIRdNoWIrCowaBF,0.679,0.684,8,-7.691,1,0.166,0.45,0.587,0.786,169.939,324800,3
44,death's dynamic shroud,世界大戦OLYMPICS,✰ HḀℳℳ☮☾Ƙ & ฿ƦΞΞƵΞ ✰,5gbF5Ix6RXO8Jeu6UB1cjD,0.597,0.139,8,-19.804,1,0.032,0.866,0.131,0.0497,145.004,56281,4
45,ぬいぐるみクレヨン Lush Crayon,CoronaWave: コロナウイルス,Self-Isolation Boogie,5R6l0pIwuRyF4AiYZ9Rdpv,0.451,0.748,6,-7.719,0,0.0655,0.274,0.391,0.833,85.025,103930,4
46,Aexion,Fake Memories,Grayscale Vision,1Ssud1VJGTM8SUThDUqzDL,0.814,0.383,3,-11.274,1,0.0634,0.591,0.115,0.511,89.995,269417,4
47,Cosmic Cycler,Night Cruising,Night Cruising,4EqPWoB47wfjL57KHu3lKP,0.518,0.509,7,-14.193,0,0.0409,0.914,0.0832,0.318,193.996,277591,4
48,L a z u l i _ y e l l o w,Secret Levels,Bodega-Mega,1HyRR46fguZsZCJV5BtgsL,0.597,0.574,2,-6.484,1,0.0239,0.747,0.0931,0.313,97.001,121280,4
49,Frez Wave,オオハシ,Golden Glass,3jrb9jsE0ANHwa7mHGWzsP,0.722,0.571,5,-11.863,0,0.0485,0.945,0.134,0.819,105.635,85091,4
50,Hotel Pools,Lynx,Lynx,07RjOHhgQG6FsQHZhfcNdv,0.635,0.574,11,-9.485,1,0.067,0.38,0.103,0.558,171.99,201933,4
51,Eccodroid,Driver Down,Enjoy the View,6qCJveapIMvT8dXUYDGsme,0.552,0.671,0,-7.07,1,0.0468,0.872,0.0638,0.97,179.004,212187,4
52,Incorporeal Visions Deluxe,Network Entities,詩 Desktop,7nrBvBSt6NdhL3LO6P38gf,0.688,0.751,5,-7.912,0,0.0368,0.624,0.353,0.4,115.22,141667,4
53,Donor Lens,Take Me in Your Arms / Can't Get Through,Can't Get Through (Hold Tight),3nUnVIc4hKnTWkaf7ttVtP,0.693,0.527,10,-11.513,1,0.0353,0.601,0.42,0.588,107.956,183333,4
54,Phil Gerus,Based On Misunderstandings 05,Don't Kiss Me While I'm Swimming,3xTzjPkat03Zb9HPFeCMy5,0.645,0.572,1,-10.063,0,0.0494,0.831,0.0828,0.397,89.999,191804,4
55,Dan Mason ダン·メイソン,Fountain View,Empty Store Empty Heart,65DciHonWvlM6ugipvgAla,0.177,0.415,9,-14.655,0,0.0361,0.833,0.0889,0.0389,87.472,344000,4
56,Greeen Linez,Things That Fade,Hibiscus Pacific,212guZJYmzASElwy8HmVKx,0.565,0.91,1,-4.91,0,0.0415,0.866,0.0913,0.69,98.495,251779,4
57,Ajotabeats,TAKE ME TO SUMMER SIDE,TAKE ME TO SUMMER SIDE,0CCOUNCp9zVJLgD7GodBCy,0.813,0.446,8,-8.91,1,0.113,0.72,0.102,0.701,99.984,182419,4
58,Designer Jeans,neon tsunami,neon tsunami,4NselBX6dh3jocOoS0jHuw,0.76,0.194,10,-14.67,0,0.395,0.896,0.305,0.894,152.045,101053,4
59,Gogi 93,Weeknights,Private Cloud,4DHXqKnDwZ96UqpPoK6SWB,0.48,0.648,5,-8.182,0,0.0381,0.962,0.679,0.214,175.749,192013,4
60,Small Black,"Tampa (FM Skyline Remix) [7"" Version]","Tampa (FM Skyline Remix) [7"" Version]",2XFu8tNnyQm2m8KNF0PNDz,0.465,0.82,10,-7.785,1,0.038,0.245,0.151,0.622,75.666,234765,4
61,Kyo-2,Tomorrow (Slowed & Reverb),Tomorrow (Slowed & Reverb),5f4JemFGhXM4755zhVElIi,0.482,0.534,11,-12.236,0,0.0294,0.577,0.11,0.149,160.182,214543,4
62,Donor Lens,Uncanny Valley Girl,Uncanny Valley Girl,2WGM4j0AEyuFjb1tfPVI3E,0.547,0.475,2,-9.588,0,0.0443,0.839,0.212,0.618,71.977,172555,4
63,CYBEREALITYライフ,v i s i o n e s,adidas,3u5fDIa1LbiTZowAaiwBT8,0.484,0.711,2,-9.609,1,0.0873,0.00469,0.318,0.477,90.939,58667,4
64,Tupperwave,Tupperwave,Majestic,03iclZbmMHsEE0KN1zFysd,0.366,0.738,4,-8.172,1,0.0475,0.921,0.422,0.761,139.061,95913,4
65,SPORTSGIRL,Sports,Tennis,5BBZrCQzJBKt3zLhlQFStc,0.415,0.766,1,-9.739,1,0.142,0.872,0.376,0.271,159.923,306000,4
66,회사AUTO,New York City,New York City,1lnIoMxANlvDC8NYjnbE2g,0.733,0.619,1,-10.656,0,0.0374,0.00831,0.163,0.623,95.006,114947,4
67,Device Operator,Better Days,Balance,4wC5oQIQMqKk9ZodyVmRJ4,0.419,0.931,10,-6.326,0,0.123,0.235,0.304,0.198,100.016,185400,4
68,Maitro,SUGAR,SUGAR,2gwTX4GRHUpKqnLt7QM03j,0.768,0.669,11,-9.563,0,0.0482,0.802,0.307,0.508,143.005,147719,4
69,豊平区民Toyohirakumin,Music in the Air,Renaissance Hotel,23OCAArOE3w7UBaTWLEdtp,0.321,0.816,10,-5.248,1,0.0798,0.912,0.336,0.594,79.95,104025,4
70,VAAV Social Club,Now!!,Now!!,5FZ2ULrgVPJXOLbLNPrzbY,0.549,0.405,7,-18.209,1,0.0297,0.359,0.0919,0.206,139.942,281366,4
71,Yuni Wa,Holding On,Holding On,2TcwS9p7WCxNtr8bsrzHKk,0.517,0.768,8,-4.739,0,0.0427,0.732,0.111,0.73,172.032,245596,4
72,Donor Lens,Distant,Distant,6mCWFMkBQE8wwfL7Jr5KQd,0.655,0.498,9,-11.583,1,0.0258,0.932,0.193,0.564,90.001,240000,4
73,BarbWalters,Roses,Ebisu Nights,0pHxOZom1dRjDp9M3ujDC6,0.239,0.761,4,-9.539,0,0.0626,0.881,0.113,0.119,118.857,192000,4
74,Tupperwave,"Baby, I Miss You",Happy,4pM8IKc8qGOnKyloJyKU0T,0.652,0.651,11,-7.578,1,0.0801,0.203,0.108,0.416,94.982,176849,4
75,Iden Kai,Silencio Drive Remixes,Silencio Drive - VAAV Social Club Remix,27DXPwOAHJetQ1wRUS3ewh,0.573,0.858,8,-7.979,0,0.0903,0.227,0.154,0.557,92.002,313082,4
76,NØVMBR,TeleVisions,TeleVisions,0OlwQDSgT5I3sNfs8OKfBY,0.576,0.636,8,-10.367,1,0.0543,0.876,0.366,0.473,176.105,340909,4
77,Gogi 93,Agoraphilia,Freedom Airways,6eVP45Uxmf0VUSqhZKxjVX,0.677,0.585,10,-10.368,1,0.0324,0.844,0.248,0.725,101.95,221864,4
78,ぬいぐるみクレヨン Lush Crayon,Mine on the Street,Heathrow,2rdh7qYQmaUQSOyjpsQpZy,0.362,0.452,1,-13.453,1,0.0314,0.728,0.134,0.0797,90.882,144156,4
79,Topaz Gang,Palm_tree.Fm,Tribute to Saint Pepsi,3XiTnDLgYarj62EW9jMsql,0.407,0.91,8,-8.628,1,0.112,0.978,0.36,0.376,126.225,91680,1
80,Strawberry Station,Lowlight (Deluxe Edition),Did She Stay The Night?,7ixkxAEbVHa0Px2l4NuDfZ,0.458,0.6,1,-10.678,1,0.0746,0.623,0.142,0.328,83.194,135654,4
81,Hotel Pools,Midnight,Midnight,77hRjQcXFpa8LUZgt6CKcH,0.568,0.855,7,-7.274,1,0.0791,0.731,0.0894,0.333,196.055,220408,4
82,Mindspring Memories,Myst,Reliving the Present Past in the Future,6GrEzQ1XbxzDTLko0vaXlS,0.492,0.593,9,-12.077,0,0.0289,0.837,0.681,0.19,103.086,355233,3
83,Space Chimney,The Invisible Hand,Decent Wizards,4ekN5yYAqfbpgfO8zP19iy,0.496,0.805,2,-15.32,1,0.0412,0.766,0.75,0.766,158.087,170886,4
84,Komit,Airleaf (Sonavision Deluxe Reanimation),Airleaf (Sonavision Deluxe Reanimation),3IcquFpYxPBYTQ9gzorT2A,0.503,0.641,1,-8.66,0,0.0302,0.848,0.115,0.397,89.218,171064,4
85,AURAGRAPH,Lucid,Lucid,4UCpgGjTvXxncFZk1LZGsu,0.497,0.589,10,-9.275,0,0.0432,0.75,0.336,0.719,169.985,207333,4
86,bl00dwave,Afterglow,Far from Here,35lGaq45JPD4O2ApXLu8el,0.477,0.585,8,-8.717,1,0.0394,0.255,0.12,0.0337,170.022,191993,4
87,slow//reverb,Presentere Fine Design (Slowed + Reverb),Presentere Fine Design - Slowed + Reverb,2G33CEeAZN5RCI7cL4sQGb,0.435,0.651,1,-11.672,0,0.194,0.0103,0.109,0.424,73.717,208000,4
88,NØVMBR,Solstice,Pause,1Zgwkg1HyGG4NuQfzf8HVI,0.698,0.489,6,-13.398,1,0.0369,0.901,0.12,0.578,144.028,250000,4
89,Runners Club 95,Live at PCBP,するのか分かりません Talk to You,4BhvuhC8goHUFXF9DxeG65,0.502,0.39,6,-14.025,0,0.0273,0.83,0.145,0.267,75.005,218100,4
90,FM Skyline,mirror gallery (Windows 96 Remix),mirror gallery (Windows 96 Remix),1qnb5BWjEyWNOw06UWpMNH,0.564,0.708,10,-10.496,1,0.059,0.895,0.367,0.398,80.04,163019,4
91,Sonavision Deluxe,Fortune's Mist,Fortune's Mist,2IMVBfuEXhWrihAGW4huK3,0.471,0.583,3,-14.725,1,0.044,0.923,0.301,0.484,180.004,194410,4
92,VANITAS命死,Music for Museum Dates,"The Lovers, the Great Wall Walk, 1989",31syw6zsRovA9JUiLthkI7,0.605,0.696,9,-8.379,1,0.0562,0.774,0.15,0.0395,129.969,162717,4
93,Designer Jeans,HAIRSALON,HAIRSALON,44k0k0RYix0BDTB9vHnmzy,0.656,0.572,5,-14.089,0,0.525,0.573,0.105,0.673,150.152,220800,4
94,AURAGRAPH,Semitropic 2000,Semitropic 2000,1TpHzhuUg6LBSHyzrzaX0B,0.554,0.867,5,-9.296,0,0.0373,0.934,0.0826,0.146,96.948,200499,4
95,Cosmic Cycler,Sparkling Lights,Sparkling Lights,2scoNjwADGcWEbSOKjy5oJ,0.285,0.683,5,-9.256,1,0.0385,0.921,0.11,0.068,175.412,244024,4
96,Tupperwave,"Baby, It's you","Baby, It's you",26Ls5FQ8enZVjSIZKSGqcl,0.677,0.721,1,-9.785,1,0.0268,0.0715,0.357,0.821,118.022,130180,4
97,Oliver Hoss,Only With You,Only With You,62kPP0WriNYSFtM58bp53M,0.449,0.577,11,-6.958,1,0.0283,0.789,0.11,0.278,110.051,233705,4
98,Memorex Memories,Curious Alice,Curious Alice,3DSiIBtYwtRWDZNa80RUJ0,0.383,0.512,8,-17.868,1,0.0601,0.892,0.115,0.293,170.034,206158,4
99,Zane Alexander,S c r e e n s a v e r,1999,5x9bqT9V0KBKG13aZEbLFs,0.613,0.861,1,-7.881,0,0.139,0.889,0.15,0.328,146.087,216986,4
